cpu_cores_total,cpu_watts,gpu_cores_total,gpu_vram_total_gb,gpu_watts,ram_total_gb,cpu_cores_used,gpu_cores_used,gpu_vram_used_gb,ram_used_gb,current_cpu_power_w,current_gpu_power_w,req_cpu_cores,req_gpu_cores,req_gpu_vram_gb,req_ram_gb
24,125,2048,48,200,128,8,1552,3.5,36.7,41.67,151.56,2,349,4.1,12.6
8,180,8192,8,350,64,3,1417,3.8,5.5,67.5,60.54,4,939,4.8,34.6
8,180,4096,16,350,512,1,3048,0.5,50.1,22.5,260.45,3,2798,4.7,51.2
16,125,8192,24,300,256,9,419,19.1,19.5,70.31,15.34,14,987,2.7,53.6
8,250,10240,8,300,512,0,6664,3.3,168.3,0.0,195.23,5,2636,1.1,136.8
64,95,8192,16,450,256,19,2343,3.9,150.5,28.2,128.7,74,7487,10.1,22.1
24,250,4096,16,300,128,15,1354,10.7,58.5,156.25,99.17,4,525,3.6,28.2
16,95,2048,48,450,256,0,237,19.6,77.6,0.0,52.08,4,580,13.8,171.8
64,250,8192,48,350,512,17,4827,7.9,16.4,66.41,206.23,4,1941,13.6,48.4
32,95,4096,8,450,512,6,1440,7.4,246.9,17.81,158.2,10,206,1.1,340.5
24,95,10240,24,300,256,5,3756,11.8,70.6,19.79,110.04,4,5495,4.4,33.7
24,125,2048,8,300,256,11,1444,2.0,90.9,57.29,211.52,4,595,1.6,48.0
8,125,4096,16,200,128,4,662,5.1,78.4,62.5,32.32,2,404,5.7,22.4
32,125,2048,48,200,64,3,81,10.5,2.4,11.72,7.91,7,572,9.3,11.7
8,250,4096,16,200,64,3,3476,5.8,30.0,93.75,169.73,2,828,9.7,8.1
8,125,10240,8,350,256,3,2379,2.0,137.1,46.88,81.31,4,1435,0.8,281.5
32,250,8192,48,200,256,6,1715,20.2,22.8,46.88,41.87,15,3680,9.4,13.8
64,95,4096,8,300,128,23,2075,6.9,104.4,34.14,151.98,34,4273,0.8,89.4
8,95,8192,24,450,512,7,980,8.5,68.7,83.12,53.83,2,2023,13.7,49.0
24,125,2048,24,300,512,2,431,10.1,325.4,10.42,63.13,16,373,1.4,266.0
16,180,10240,8,300,512,2,589,3.0,119.0,22.5,17.26,4,5384,1.9,323.7
16,180,10240,16,350,128,5,589,10.3,54.6,56.25,20.13,4,1276,3.4,9.5
64,125,10240,24,300,128,1,886,16.5,21.1,1.95,25.96,13,2166,13.7,32.8
8,95,8192,48,350,512,0,296,15.4,302.5,0.0,12.65,3,2389,8.6,159.2
24,95,4096,8,450,128,21,1040,1.9,77.5,83.12,114.26,15,1709,0.4,53.9
32,180,4096,48,450,256,2,1188,14.4,14.1,11.25,130.52,4,889,10.2,42.0
16,125,8192,16,200,512,5,3917,0.5,403.2,39.06,95.63,19,1958,1.4,89.7
64,95,4096,16,300,128,17,1060,1.4,40.6,25.23,77.64,13,268,3.4,78.5
32,250,4096,16,350,128,10,492,7.7,44.1,78.12,42.04,5,333,4.8,85.1
16,180,10240,16,450,512,13,1375,9.8,110.3,146.25,60.42,2,1363,7.9,62.6
32,125,4096,24,200,64,6,3684,21.1,41.0,23.44,179.88,7,3635,4.4,5.4
32,250,4096,16,200,256,8,687,3.9,65.3,62.5,33.54,5,531,0.8,20.3
32,250,10240,24,300,512,12,4201,16.2,266.1,93.75,123.08,3,623,6.8,97.5
64,125,10240,48,200,64,5,3980,20.1,33.0,9.77,77.73,7,6019,9.9,16.6
8,250,4096,16,200,64,2,1064,7.9,11.4,62.5,51.95,1,751,1.6,10.3
16,95,2048,48,450,256,1,736,10.1,224.5,5.94,161.72,2,2421,6.9,97.8
8,95,8192,24,450,512,1,5639,21.1,49.5,11.88,309.76,1,3147,5.7,124.1
64,95,2048,48,200,512,11,1084,15.5,130.8,16.33,105.86,12,473,10.7,225.2
16,180,10240,16,350,128,1,2127,6.0,11.1,11.25,72.7,3,9776,3.8,20.1
32,250,4096,16,200,256,0,1208,1.2,51.2,0.0,58.98,31,562,2.9,68.4
32,95,4096,48,200,64,11,665,18.3,11.9,32.66,32.47,14,1205,4.0,8.3
8,250,10240,8,300,512,2,8024,2.6,287.7,62.5,235.08,1,1032,4.6,93.2
32,180,4096,48,300,128,13,1379,33.0,45.2,73.12,101.0,3,685,11.5,15.5
8,250,4096,16,200,64,4,277,4.0,2.1,125.0,13.53,1,1923,2.2,31.1
8,125,8192,48,300,512,1,652,13.6,67.7,15.62,23.88,3,2592,34.7,99.2
16,180,10240,8,300,512,4,1931,2.2,271.8,45.0,56.57,17,1661,0.6,90.3
24,95,8192,24,300,128,8,2849,15.7,28.3,31.67,104.33,4,2344,5.3,22.5
24,125,2048,48,200,128,1,119,15.2,69.7,5.21,11.62,3,326,33.6,14.2
32,180,10240,8,200,128,6,2430,3.7,20.2,33.75,47.46,13,2582,0.4,6.8
24,125,8192,24,450,64,5,1771,4.3,32.5,26.04,97.28,2,2287,5.2,66.2
8,180,8192,48,450,128,1,4546,1.3,28.1,22.5,249.72,2,1302,15.1,27.5
16,250,8192,16,350,256,6,1923,4.1,125.4,93.75,82.16,5,1349,1.5,51.6
64,250,10240,48,300,512,17,2642,11.5,101.3,66.41,77.4,17,3475,34.0,127.0
64,95,8192,16,450,256,40,364,4.8,77.5,59.38,20.0,13,8512,3.4,125.5
8,125,10240,8,350,128,2,948,1.2,40.6,31.25,32.4,2,5456,1.5,48.1
24,180,8192,48,350,512,4,2509,19.1,124.0,30.0,107.2,8,2328,2.8,97.1
64,95,10240,16,350,128,28,140,8.0,86.7,41.56,4.79,7,12266,3.6,10.9
8,125,10240,8,350,64,0,3638,1.1,16.9,0.0,124.35,1,2248,0.5,9.6
32,125,2048,24,350,256,7,1379,5.7,15.3,27.34,235.67,9,1277,21.2,138.5
64,250,8192,24,200,512,8,3324,3.7,29.5,31.25,81.15,15,8043,2.8,254.8
64,95,2048,8,300,512,21,898,4.7,77.6,31.17,131.54,10,392,0.7,98.2
24,125,8192,24,350,64,4,1591,4.4,41.3,20.83,67.97,7,2042,14.3,17.0
64,250,8192,48,350,512,3,6429,9.4,212.0,11.72,274.68,77,1399,8.7,57.7
16,250,10240,8,300,256,1,5992,5.4,21.7,15.62,175.55,5,1458,0.7,67.6
32,180,4096,48,450,256,22,345,4.3,78.5,123.75,37.9,10,2604,18.4,61.2
24,180,2048,8,300,64,15,147,1.4,52.8,112.5,21.53,4,593,1.8,16.1
64,95,4096,8,300,128,20,896,2.5,48.1,29.69,65.62,6,934,1.2,77.6
32,250,2048,24,350,64,8,1048,4.7,18.9,62.5,179.1,22,470,4.4,11.3
24,180,8192,48,350,512,15,896,27.7,48.8,112.5,38.28,5,5591,13.0,295.4
32,125,2048,16,450,512,7,490,13.5,31.1,27.34,107.67,3,157,2.1,152.1
32,95,4096,8,450,512,8,732,1.8,123.9,23.75,80.42,18,255,2.2,164.0
32,250,10240,24,300,512,5,1796,8.5,115.3,39.06,52.62,11,852,27.8,177.5
32,250,4096,16,350,128,2,3759,4.1,35.2,15.62,321.2,5,617,2.0,34.2
16,95,2048,48,450,256,11,332,6.2,93.8,65.31,72.95,5,249,15.4,47.2
24,180,8192,8,350,512,15,3643,2.0,184.5,112.5,155.65,16,6956,4.1,265.9
32,125,2048,24,350,256,5,828,9.0,101.6,19.53,141.5,15,615,12.4,33.4
32,250,10240,8,350,512,7,8276,1.5,159.7,54.69,282.87,12,7995,2.3,286.3
24,250,2048,8,300,128,17,951,1.4,11.7,177.08,139.31,7,477,2.8,21.8
8,125,10240,8,350,256,5,2236,4.4,84.3,78.12,76.43,2,2536,0.4,14.2
24,95,8192,24,300,128,7,2570,6.3,44.7,27.71,94.12,6,4137,13.7,7.0
64,95,2048,8,300,512,37,226,0.4,381.3,54.92,33.11,58,603,1.0,32.6
8,180,8192,48,450,128,3,3218,9.2,11.9,67.5,176.77,10,2356,6.7,37.8
64,125,10240,48,200,64,13,123,22.7,17.6,25.39,2.4,15,2048,57.2,12.4
16,95,10240,8,200,512,3,4811,2.5,346.4,17.81,93.96,2,11786,2.1,115.5
24,125,10240,48,350,512,4,2337,35.3,345.6,20.83,79.88,15,3656,7.5,525.8
24,250,2048,48,200,64,8,1391,17.1,29.0,83.33,135.84,8,1022,6.9,3.7
32,125,8192,48,200,128,7,899,14.4,89.9,27.34,21.95,16,971,8.9,77.8
8,95,10240,16,350,128,0,8238,4.1,96.5,0.0,281.57,2,6803,8.5,27.0
32,180,4096,8,300,256,13,2956,2.5,40.4,73.12,216.5,3,296,8.3,25.6
8,95,8192,48,350,512,3,2110,28.6,101.0,35.62,90.15,4,810,21.2,54.1
32,125,4096,24,450,64,20,1281,4.0,12.6,78.12,140.73,12,1534,25.0,14.3
32,95,4096,8,450,512,0,309,0.9,259.9,0.0,33.95,8,453,4.8,30.6
64,250,4096,24,450,128,42,931,2.4,35.7,164.06,102.28,21,510,5.4,23.5
8,125,8192,24,300,512,2,4835,12.1,242.2,31.25,177.06,2,5409,27.4,144.6
24,180,2048,24,300,64,2,1725,9.7,11.8,15.0,252.69,4,366,2.7,58.0
8,180,8192,48,450,128,3,900,15.5,16.2,67.5,49.44,1,717,2.6,84.5
24,95,8192,24,200,128,3,3096,12.3,25.5,11.88,75.59,5,2360,6.6,7.2
32,180,4096,16,450,512,14,297,6.5,140.3,78.75,32.63,8,4080,2.3,66.5
24,125,10240,24,350,128,21,5566,16.1,40.0,109.38,190.24,5,2329,13.4,23.8
16,180,10240,16,350,128,4,3091,4.7,38.9,45.0,105.65,11,1697,2.2,14.9
16,180,8192,24,300,128,7,1044,10.0,17.2,78.75,38.23,16,1223,10.8,29.1
8,125,4096,48,450,64,5,2023,41.7,5.1,78.12,222.25,2,417,16.2,11.5
16,95,4096,24,450,256,3,433,7.2,77.4,17.81,47.57,5,791,3.6,61.1
16,250,8192,16,350,256,3,3073,1.3,68.8,46.88,131.29,4,1169,2.1,74.3
64,250,4096,24,450,128,7,1160,2.3,32.8,27.34,127.44,7,4113,8.3,122.9
16,125,4096,48,350,64,7,3018,16.1,34.5,54.69,257.89,3,1053,49.6,74.7
8,125,10240,16,200,64,3,5925,3.4,23.8,46.88,115.72,2,9519,3.6,14.0
32,180,4096,8,300,256,3,435,4.2,37.0,16.88,31.86,14,243,0.5,290.2
8,125,2048,24,300,512,0,522,7.1,155.3,0.0,76.46,2,115,6.6,319.0
32,125,10240,16,450,256,17,3343,4.3,30.7,66.41,146.91,7,6498,2.5,49.0
32,250,8192,24,300,64,1,3691,14.0,25.9,7.81,135.17,9,9115,5.5,36.6
64,180,8192,48,200,128,56,3746,7.1,77.9,157.5,91.46,36,5027,12.0,100.6
16,250,10240,8,300,256,6,2722,0.8,51.7,93.75,79.75,17,2672,1.4,45.0
64,250,8192,24,200,512,28,1222,5.9,450.4,109.38,29.83,25,7391,13.0,46.0
24,125,4096,8,200,512,8,1022,1.3,129.9,41.67,49.9,5,838,2.3,43.0
32,180,10240,8,200,128,1,3126,3.3,82.1,5.62,61.05,8,2416,1.6,32.0
64,95,2048,8,300,512,6,172,5.3,97.2,8.91,25.2,19,114,1.6,100.4
8,125,2048,48,450,64,0,671,12.1,16.3,0.0,147.44,1,2112,5.1,25.9
