cpu_cores_total,cpu_watts,gpu_cores_total,gpu_vram_total_gb,gpu_watts,ram_total_gb,cpu_cores_used,gpu_cores_used,gpu_vram_used_gb,ram_used_gb,current_cpu_power_w,current_gpu_power_w,req_cpu_cores,req_gpu_cores,req_gpu_vram_gb,req_ram_gb,execution_time,sla_violation
24,95,8192,16,200,256,4,3209,3.1,99.9,15.83,78.34,4,1760,7.9,70.6,15.48,0
16,250,8192,16,350,256,2,2446,7.7,41.2,31.25,104.5,10,1674,1.6,31.9,1.88,0
32,125,4096,24,300,64,6,531,1.1,11.7,23.44,38.89,7,1252,4.1,34.9,15.22,0
16,125,8192,16,200,512,7,6458,9.9,155.9,54.69,157.67,4,416,1.9,101.3,15.72,0
64,125,8192,24,200,512,33,3685,8.2,20.7,64.45,89.97,6,2448,5.3,137.3,9.01,0
64,180,4096,16,450,256,29,1354,9.8,18.1,81.56,148.75,19,891,3.0,51.0,7.42,0
24,125,2048,16,200,128,4,275,4.6,4.3,20.83,26.86,7,361,4.1,9.4,12.88,0
24,125,2048,8,300,512,8,227,0.3,140.4,41.67,33.25,4,322,1.3,338.9,16.46,0
8,180,8192,8,350,64,2,2458,0.5,39.1,45.0,105.02,1,2332,1.8,15.2,11.09,0
24,95,2048,16,300,64,8,465,3.7,30.8,31.67,68.12,5,219,2.3,13.9,7.09,0
64,95,4096,48,350,512,15,812,5.6,155.4,22.27,69.38,13,252,5.2,148.5,17.86,0
32,125,8192,16,300,64,9,2885,4.8,6.5,35.16,105.65,7,1247,9.0,11.6,15.57,0
8,125,10240,8,200,64,0,2661,2.9,7.9,0.0,51.97,2,1553,1.0,7.7,3.89,0
8,125,10240,8,200,64,0,1846,3.8,13.7,0.0,36.05,6,1430,2.3,14.9,9.33,0
8,125,10240,24,300,256,0,7293,3.0,58.8,0.0,213.66,7,2350,4.9,26.6,0.88,0
16,180,8192,24,300,128,5,587,6.4,24.1,56.25,21.5,4,417,1.7,17.6,3.09,0
64,125,10240,48,200,512,4,724,6.6,163.6,7.81,14.14,11,2735,7.3,79.7,7.41,0
64,180,8192,48,200,128,23,3323,23.9,17.2,64.69,81.13,18,2368,12.2,64.5,9.39,0
64,125,2048,24,450,512,11,704,13.7,139.8,21.48,154.69,13,458,1.8,305.3,3.79,0
64,250,2048,24,450,64,12,236,15.3,29.1,46.88,51.86,15,179,2.7,4.8,8.74,0
24,250,2048,48,200,64,5,256,15.7,5.3,52.08,25.0,5,463,12.5,17.0,7.75,0
32,180,4096,8,300,256,4,1578,2.2,68.1,22.5,115.58,12,403,2.1,64.3,5.77,0
16,125,4096,48,200,256,4,758,2.8,32.2,31.25,37.01,2,223,14.0,116.5,13.65,0
